Timestamp_MS,Channel,Frame_Size_Bytes,RSSI_dBm,MAC_Address
3599994,1,350,-71,3C:46:A1:6D:8B:F3
3600004,1,350,-71,3C:46:A1:6D:8B:F3
3600004,1,350,-71,3C:46:A1:6D:8B:F3
3600004,1,350,-71,3C:46:A1:6D:8B:F3
3600024,1,356,-79,3C:46:A1:6D:8B:33
3600034,1,340,-71,3C:46:A1:6D:8B:F2
3600034,1,356,-71,3C:46:A1:6D:8B:F3
3600034,1,364,-72,3C:46:A1:6D:8B:F4
3600054,1,340,-71,3C:46:A1:6D:9B:B2
3600054,1,356,-71,3C:46:A1:6D:9B:B3
3600054,1,364,-70,3C:46:A1:6D:9B:B4
3600074,1,356,-79,3C:46:A1:6D:96:A3
3600084,1,356,-81,3C:46:A1:6D:93:93
3600114,1,119,-78,08:65:F0:DA:4D:63
3600124,1,356,-79,3C:46:A1:6D:8B:33
3600134,1,340,-71,3C:46:A1:6D:8B:F2
3600134,1,356,-71,3C:46:A1:6D:8B:F3
3600134,1,364,-72,3C:46:A1:6D:8B:F4
3600154,1,340,-71,3C:46:A1:6D:9B:B2
3600154,1,356,-72,3C:46:A1:6D:9B:B3
3600154,1,364,-71,3C:46:A1:6D:9B:B4
3600184,1,356,-81,3C:46:A1:6D:96:A3
3600194,1,356,-80,3C:46:A1:6D:93:93
3600234,1,356,-79,3C:46:A1:6D:8B:33
3600234,1,340,-72,3C:46:A1:6D:8B:F2
3600234,1,356,-71,3C:46:A1:6D:8B:F3
3600234,1,364,-71,3C:46:A1:6D:8B:F4
3600254,1,340,-72,3C:46:A1:6D:9B:B2
3600254,1,356,-73,3C:46:A1:6D:9B:B3
3600254,1,364,-72,3C:46:A1:6D:9B:B4
3600254,1,356,-78,3C:46:A1:70:A0:B3
3600274,1,366,-78,3C:46:A1:6D:8B:33
3600274,1,366,-79,3C:46:A1:6D:8B:33
3600274,1,366,-81,3C:46:A1:6D:8B:33
3600274,1,366,-79,3C:46:A1:6D:8B:33
3600274,1,374,-80,3C:46:A1:6D:8B:34
3600284,1,356,-82,3C:46:A1:6D:96:A3
3600294,1,356,-81,3C:46:A1:6D:93:93
3600334,1,356,-79,3C:46:A1:6D:8B:33
3600334,1,340,-71,3C:46:A1:6D:8B:F2
